"OLD URL (with id)","NEW URL"
taxonomy/term/167,/taxonomy/term/388
taxonomy/term/168,/taxonomy/term/102
taxonomy/term/169,/taxonomy/term/90
taxonomy/term/170,/taxonomy/term/542
taxonomy/term/171,/taxonomy/term/547
taxonomy/term/172,/taxonomy/term/304
taxonomy/term/173,/taxonomy/term/318
taxonomy/term/174,/taxonomy/term/539
taxonomy/term/175,/taxonomy/term/319
taxonomy/term/176,/taxonomy/term/558
taxonomy/term/177,/taxonomy/term/80
taxonomy/term/178,/taxonomy/term/509
taxonomy/term/179,/taxonomy/term/48
taxonomy/term/180,/taxonomy/term/30
taxonomy/term/181,/taxonomy/term/49
taxonomy/term/182,/taxonomy/term/53
taxonomy/term/183,/taxonomy/term/114
taxonomy/term/184,/taxonomy/term/168
taxonomy/term/185,/taxonomy/term/112
taxonomy/term/186,/taxonomy/term/162
taxonomy/term/187,/taxonomy/term/115
taxonomy/term/188,/taxonomy/term/173
taxonomy/term/189,/taxonomy/term/194
taxonomy/term/190,/taxonomy/term/541
taxonomy/term/191,/taxonomy/term/135
taxonomy/term/193,/taxonomy/term/141
taxonomy/term/194,/taxonomy/term/156
taxonomy/term/195,/taxonomy/term/549
taxonomy/term/196,/taxonomy/term/65
taxonomy/term/198,/taxonomy/term/92
taxonomy/term/204,/taxonomy/term/59
taxonomy/term/205,/taxonomy/term/103
taxonomy/term/207,/taxonomy/term/74
taxonomy/term/208,/taxonomy/term/85
taxonomy/term/210,/taxonomy/term/66
taxonomy/term/211,/taxonomy/term/70
taxonomy/term/213,/taxonomy/term/68
taxonomy/term/217,/taxonomy/term/45
taxonomy/term/218,/taxonomy/term/95
taxonomy/term/219,/taxonomy/term/100
taxonomy/term/220,/taxonomy/term/26
taxonomy/term/221,/taxonomy/term/44
taxonomy/term/222,/taxonomy/term/60
taxonomy/term/225,/taxonomy/term/46
taxonomy/term/227,/taxonomy/term/94
taxonomy/term/230,/taxonomy/term/89
taxonomy/term/233,/taxonomy/term/101
taxonomy/term/235,/taxonomy/term/75
taxonomy/term/238,/taxonomy/term/35
taxonomy/term/240,/taxonomy/term/97
taxonomy/term/241,/taxonomy/term/62
taxonomy/term/242,/taxonomy/term/71
taxonomy/term/243,/taxonomy/term/33
taxonomy/term/244,/taxonomy/term/517
taxonomy/term/245,/taxonomy/term/55
taxonomy/term/251,/taxonomy/term/83
taxonomy/term/259,/taxonomy/term/38
taxonomy/term/270,/taxonomy/term/82
taxonomy/term/274,/taxonomy/term/76
taxonomy/term/277,/taxonomy/term/305
taxonomy/term/291,/taxonomy/term/544
taxonomy/term/297,/taxonomy/term/73
taxonomy/term/300,/taxonomy/term/552
taxonomy/term/304,/taxonomy/term/58
taxonomy/term/305,/taxonomy/term/79
taxonomy/term/309,/taxonomy/term/86
taxonomy/term/311,/taxonomy/term/77
taxonomy/term/315,/taxonomy/term/311
taxonomy/term/317,/taxonomy/term/78
taxonomy/term/318,/taxonomy/term/57
taxonomy/term/323,/taxonomy/term/107
taxonomy/term/338,/taxonomy/term/553
taxonomy/term/343,/taxonomy/term/40
taxonomy/term/345,/taxonomy/term/376
taxonomy/term/347,/taxonomy/term/61
taxonomy/term/348,/taxonomy/term/91
taxonomy/term/349,/taxonomy/term/47
taxonomy/term/352,/taxonomy/term/99
taxonomy/term/353,/taxonomy/term/96
taxonomy/term/357,/taxonomy/term/140
taxonomy/term/360,/taxonomy/term/64
taxonomy/term/363,/taxonomy/term/56
taxonomy/term/368,/taxonomy/term/81
taxonomy/term/369,/taxonomy/term/67
taxonomy/term/376,/taxonomy/term/69
taxonomy/term/378,/taxonomy/term/307
taxonomy/term/379,/taxonomy/term/98
taxonomy/term/382,/partners/virginia-beach-higher-education-center
taxonomy/term/385,/taxonomy/term/27
taxonomy/term/386,/taxonomy/term/574
taxonomy/term/387,/taxonomy/term/570
taxonomy/term/388,/taxonomy/term/577
taxonomy/term/389,/taxonomy/term/560
taxonomy/term/390,/taxonomy/term/559
taxonomy/term/391,/taxonomy/term/573
taxonomy/term/392,/taxonomy/term/581
taxonomy/term/393,/taxonomy/term/578
taxonomy/term/394,/taxonomy/term/571
taxonomy/term/395,/taxonomy/term/566
taxonomy/term/397,/taxonomy/term/580
taxonomy/term/398,/taxonomy/term/583
taxonomy/term/399,/taxonomy/term/575
taxonomy/term/400,/taxonomy/term/129
taxonomy/term/401,/taxonomy/term/113
taxonomy/term/403,/taxonomy/term/582
taxonomy/term/404,/taxonomy/term/572
taxonomy/term/405,/taxonomy/term/568
taxonomy/term/406,/taxonomy/term/569
taxonomy/term/407,/taxonomy/term/561
taxonomy/term/409,/taxonomy/term/191
taxonomy/term/410,/taxonomy/term/380
taxonomy/term/411,/taxonomy/term/313
taxonomy/term/412,/taxonomy/term/381
taxonomy/term/413,/taxonomy/term/390
taxonomy/term/414,/partners/tidewater-community-college
taxonomy/term/416,/taxonomy/term/521
taxonomy/term/417,/taxonomy/term/508
taxonomy/term/426,/about-us/state-authorization-licensure/licensure/state/al
taxonomy/term/427,/about-us/state-authorization-licensure/licensure/state/ak
taxonomy/term/428,/about-us/state-authorization-licensure/licensure/state/az
taxonomy/term/429,/about-us/state-authorization-licensure/licensure/state/ar
taxonomy/term/430,/about-us/state-authorization-licensure/licensure/state/ca
taxonomy/term/431,/about-us/state-authorization-licensure/licensure/state/co
taxonomy/term/432,/about-us/state-authorization-licensure/licensure/state/ct
taxonomy/term/433,/about-us/state-authorization-licensure/licensure/state/de
taxonomy/term/434,/about-us/state-authorization-licensure/licensure/state/dc
taxonomy/term/435,/about-us/state-authorization-licensure/licensure/state/fl
taxonomy/term/436,/about-us/state-authorization-licensure/licensure/state/ga
taxonomy/term/437,/about-us/state-authorization-licensure/licensure/state/hi
taxonomy/term/438,/about-us/state-authorization-licensure/licensure/state/id
taxonomy/term/439,/about-us/state-authorization-licensure/licensure/state/il
taxonomy/term/440,/about-us/state-authorization-licensure/licensure/state/in
taxonomy/term/441,/about-us/state-authorization-licensure/licensure/state/ia
taxonomy/term/442,/about-us/state-authorization-licensure/licensure/state/ks
taxonomy/term/443,/about-us/state-authorization-licensure/licensure/state/ky
taxonomy/term/444,/about-us/state-authorization-licensure/licensure/state/la
